NM,NEWS
더네이쳐홀딩스,더네이쳐홀딩스(대표 박영준)이 오는 17일(목) 통합몰 '엔스테이션몰(N.Station mall)'을 오픈한다. 보유 브랜드인 '내셔널지오그래픽어패럴'과 '엔에프엘(NFL)'을 비롯해 명품 브랜드들까지 입점해 통합 플랫폼 개념의...
더네이쳐홀딩스,"= 더네이쳐홀딩스는 오는 28일 오전 8시 서울특별시 용산구 새창로 44길 10, 더네이쳐홀딩스 2층 대강당에서 정기주주총회를 개최한다고 11일 공시했다．"
더네이쳐홀딩스,골프공 제조업체 볼빅이 더네이쳐홀딩스 대신 TS인베스트먼트의 투자를 받는다. 볼빅은 TS인베스트먼트가 운용하는 티에스2020-13 M&amp;A 성장조합’에 223억원 규모 제3자배정 유상증자를 결의했다고 14일 밝혔다....
더네이쳐홀딩스,더네이쳐홀딩스(298540)는 10일 “금일자로 골프공 제조사 볼빅 인수 추진을 중단했다”며 “인수 후보 기업들 중 티에스2020-13 M&amp;A 성장조합이 최종적으로 인수 기업으로 확정됐다”고 공시했다.
더네이쳐홀딩스,더네이쳐홀딩스가 전개하는 내셔널지오그래픽 어패럴(이하 내셔널지오그래픽)이 신학기를 맞아 Z세대를... 내셔널지오그래픽 관계자는 “강도와 마찰력이 높은 비브람 아웃솔은 오랜 시간 착용해도 발의 피로감을 덜...
더네이쳐홀딩스,더네이쳐홀딩스가 실적 호조로 주가 상승세를 보이고 있다. 23일 오후 2시를 기준으로 더네이쳐홀딩스 주가는 전일 대비 8.91% 증가한 3만7300원에 거래되고 있다. 더네이쳐홀딩스가 전개하는 대표 브랜드...
더네이쳐홀딩스,더네이쳐홀딩스가 중국 베이징에서 내셔널지오그래픽어패럴 팝업 스토어 5주간 운영하며 매출 100만위안(약 1억9000만원)을 돌파했다는 소식에 강세다. 21일 오후 1시11분 더네이쳐홀딩스는 전거래일대비 1400원(4.26...
더네이쳐홀딩스,더네이쳐홀딩스(298540)는 아주경제에서 지난해 10월 보도한 ‘골프공 제조사 볼빅 인수 추진’ 관련 해명 공시의 재공시를 통해 “사업 경쟁력 강화를 위해 지분투자 등 다양한 방안을 검토해왔으나 현재 구체적으로...
더네이쳐홀딩스,더네이쳐홀딩스가 온라인 브랜드 통합몰 '엔스테이션몰'을 오픈했고 매드포갈릭이 봄을 맞이하여 17일 특별한 신메뉴 5종을 출시한다. K2가 '브리즈 아노락 자켓'을 출시했고 도미노피자는 회원을 대상으로 매니아...
더네이쳐홀딩스,마일리지를 더 적립해준다(5%+5%). 또한 '삼성물산' '바바패션' '대현' '시선'에서는 브랜드별 10~20% 금액 할인... 더네이쳐홀딩스은 자사의 패션 브랜드 제품과 해외 명품을 한 곳에서 쇼핑할 수 있는 온라인 브랜드 통합몰...
더네이쳐홀딩스,"더네이쳐홀딩스, 브랜드엑스코퍼레이션, 에스제이그룹, 감성코퍼레이션이 그 주인공이다. 작년, 실적으로... 단계 더 도약할 것”이라고 말했다. 레깅스~뷰티 브랜드엑스, 일본 등 해외 8개국 오프라인 진출!..."
더네이쳐홀딩스,"기관투자자는 더네이쳐홀딩스를 수요일에만 14만847주를 순매수하는 등 이번 주 1.7% 더 사들였다. 이어 이수페타시스(1.57%, 이하 순매수 지분율), 화성산업(1.39%), 삼양식품(1.29%)순으로 기관이 많은 지분을 확보한..."
더네이쳐홀딩스,"중국 현지 매장을 늘려가는 동시에 향후 일본, 호주, 동남아 및 중동 등의 해외 진출도 확대하며 글로벌 패션 브랜드로 한 단계 더 도약할 것""이라고 말했다. 천지일보,더네이쳐홀딩스,실적,매출,영업익,내셔널지오그래픽"
더네이쳐홀딩스,"더네이쳐홀딩스 로고. (더네이쳐홀딩스 제공) 라이프 스타일 전문기업 ㈜더네이쳐홀딩스는 8일 공시를 통해... 호주, 동남아 및 중동 등의 해외 진출도 확대하며 글로벌 패션 브랜드로 한 단계 더 도약할 것""이라고 밝혔다."
더네이쳐홀딩스,"더네이쳐홀딩스가 2021년 연결기준 매출 3711억7800만 원, 영업이익 681억8500만 원, 순이익 569억9400만 원을 올린 것으로 잠정집계됐다고 8일 공시했다. 2020년보다 매출은 28.0%, 영업이익은 23.0%, 순이익은..."
더네이쳐홀딩스,"더네이쳐홀딩스는 의류 수입 및 국내 판매 사업을 영위하며 주요 브랜드로는 내셔널지오그래픽, 내셔널지오그래픽 키즈를 보유하고 있다. 매출 구성은 의류가 80%, 여행용 가방 3%, 기타 용품 17%로 의류에 집중된..."
더네이쳐홀딩스,"3일 더네이쳐홀딩스 주가는 직전 거래일인 1월28일보다 5.99%(1650원) 뛴 2만9200원에 거래를 마쳤다. 더네이쳐홀딩스 로고. 비비안 주가는 4.52%(115원) 상승한 2660원에, 휠라홀딩스 주가는 4.29%(1250원)..."
더네이쳐홀딩스,업계 예상보다 빨리 나타난 성과에 테일러메이드 M&amp;A 문턱까지 센트로이드 PE와 함께 갔던 더네이쳐홀딩스 입장에선 아쉬울 수 있다는 시각이 나온다. 앞서 센트로이드 PE는 테일러메이드의 인수·합병(M&amp;A) 진행...
더네이쳐홀딩스,"더네이쳐홀딩스(298540)는 주당 200원의 결산 현금배당을 결정했다고 8일 공시했다. 시가배당율은 0.7%, 배당기준일은 지난해 12월31일이다. 배당금총액은 29억원이다."
더네이쳐홀딩스,더네이쳐홀딩스(298540)는 지난해 영업이익이 684억원으로 전년 대비 23.5% 증가한 것으로 잠정 집계됐다고 8일 공시했다. 지난해 매출액은 3699억원으로 전년 대비 27.4% 증가했다. 당기순이익은 전년 대비 41.6...
더네이쳐홀딩스,더네이쳐홀딩스 박셀바이오 오상자이엘 동성화인텍 오리엔탈정공 와이지-원 케이씨피드 엔에스엔... 바이든 대통령은 이전 조처를 훨씬 더 뛰어넘는 제재를 부과할 것이라며 러시아 최대 국책은행인 대외경제은행...
더네이쳐홀딩스,"24일 더네이쳐홀딩스 주가는 직전 거래일보다 4.97%(1500원) 빠진 2만8700원에 거래를 마쳤다. 더네이쳐홀딩스 로고. F&amp;F 주가는 4.44%(3만9천 원) 떨어진 83만9천 원에, 까스텔바작 주가는 4.20%(420원) 하락한..."
더네이쳐홀딩스,"19일 더네이쳐홀딩스 주가는 전날보다 7.20%(2350원) 빠진 3만300원에 거래를 마쳤다. 더네이쳐홀딩스 로고. 신성통상 주가는 2.73%(100원) 하락한 3560원에, 비비안 주가는 2.10%(60원) 내린 2800원에 장을..."
더네이쳐홀딩스,"더네이쳐홀딩스의 볼빅 인수 추진 보도와 관련해 21일 볼빅은 ""더네이쳐홀딩스와 추가 진행 사항은 없으나, 계속해서 당사는 자금조달을 위해 투자검토를 진행 중이고 현재 구체적으로 결정된 사항은 없다""고 답변..."
더네이쳐홀딩스,더네이쳐홀딩스 관계자는 “회사 성장에 힘써 준 모든 임직원에게 감사하는 마음을 전하고 더 큰 내년 목표를 향해 달려가기 위해 성과급과 다양한 포상을 마련했다”며 “내년에는 임직원의 역량을 집중해 중국...
더네이쳐홀딩스,"더네이쳐홀딩스 관계자는 ""회사 성장에 힘써 준 모든 임직원에게 감사하는 마음을 전하고 더 큰 내년 목표를 향해 달려가기 위해 성과급과 다양한 포상을 마련했다""며 ""내년에는 임직원의 역량을 집중해 중국 본토에..."
더네이쳐홀딩스,"있는 만큼 더 큰 성과 달성과 지속적인 배당으로 주주 이익 환원 및 가치 제고 노력을 이어갈 것”이라고 말했다. 한편 더네이쳐홀딩스는 지난해 매출 2915억 원, 영업이익 553억 원으로 사상 최대 실적을 달성했다."
더네이쳐홀딩스,"21일 더네이쳐홀딩스 주가는 2만6400원을 기록하며, 52주 신저가를 경신했다. 이는 전저점 대비 1.12% 하락한 것이다. 더네이쳐홀딩스 주가는 9일 연속 52주 최저가를 경신했다. 지난 52주 최고가인 4만700원(2021년..."
더네이쳐홀딩스,우선 올해 말 온라인을 통해 제품 반응을 확인할 전망으로 가격이나 제품에 대한 반응을 더 잘 확인할 수 있는 위챗과 틱톡에서 진행될 예정이다. 상해 팝업 스토어도 계획 중이다. 더네이쳐홀딩스의 합작 법인 예상...
더네이쳐홀딩스,"더네이쳐홀딩스(대표이사 박영준)이 3분기 연결기준 매출액 522억원, 영업이익 31억원, 당기순이익... 층 더 성장할 계획이다""라고 밝혔다. 이새롬 대신증권 연구원은 ""내년 3월 베스트셀러그룹과 중국 JV법인(동사..."
더네이쳐홀딩스,"CGV는 걸그룹 마마무의 콘서트 실황 ‘마마무 2021 WAW 콘서트 더 무비’를 오는 12월 3일 개봉하며, 쿠팡이츠... ‘라방’ 하루 만에 6억 매출… 더네이쳐홀딩스 ‘라이브 커머스‘ 강화 내셔널지오그래픽 어패럴(이하..."
더네이쳐홀딩스,"더네이쳐홀딩스(대표 박영준)의 아메리칸 스포츠 컬처 브랜드 '엔에프엘(NFL)'이 신세계백화점 타임스퀘어점과 롯데백화점 수원점에서 월매출 1억원을 달성했다. 순수 오프라인 판매로 올린 매출이며, MZ세대 니즈에 맞는..."
더네이쳐홀딩스,상장사 더네이쳐홀딩스 기록이다. 이 회사는 2016년 주력 브랜드 ‘내셔널지오그래픽 어패럴’을 선보인 후 이 같은 실적을 올릴 수 있었다고 밝혔다. 분기 실적 규모가 작은 것도 아니다. 올해 2분기 더네이쳐홀딩스...
더네이쳐홀딩스,"더네이쳐홀딩스(대표 박영준)는 2021년 3분기 연결재무제표 기준 매출액이 전년 동기 대비 28.7% 증가한... 물량을 미리 확보해둔 만큼 소비자들의 니즈와 수요를 만족시키며 한 층 더 성장할 계획이다""라고 밝혔다."
더네이쳐홀딩스,"더네이쳐홀딩스가 국내 골프공 제조기업에 투자를 검토하고 있다. 더네이쳐홀딩스는 25일 공시를 통해 볼빅 지분투자를 검토하고 있다고 밝혔다. 더네이쳐홀딩스 로고. 더네이쳐홀딩스 측은 ""사업경쟁력 강화를 위해..."
더네이쳐홀딩스,박기범 기자 partner@ajunews.com 더네이쳐홀딩스가 또 한번 골프업계 진출을 시도한다. 지난 6~7월 테일러메이드의 아픈 기억은 뒤로하고 이번에는 '컬러볼'로 유명한 골프공 제조사 볼빅(Volvik)으로 향하고 있다. 24일...
더네이쳐홀딩스,이같은 실적 호조세에 힘입어 더네이쳐홀딩스는 최근 주가 상승이 이어지고 있다. 라이프 스타일 플랫폼 더네이쳐홀딩스는 내셔널지오그래픽 어패럴(이하 내셔널지오그래픽)의 FW 시즌 대표 제품들이 무신사 랭킹...
더네이쳐홀딩스,"사진_더네이쳐홀딩스 서동성기자=더네이쳐홀딩스는 9일 오전 10시 48분 기준 2,350원이 올라 7.32% 상승중이다. 시가 32,350원 고가 34,550원 저가 31,800원이다. 시가총액은 5,011억원 시가총액순위는 코스닥..."
더네이쳐홀딩스,전기연 기자 kiyeoun01@ajunews.com 더네이쳐홀딩스 주가가 상승세다. 21일 한국거래소에 따르면 오전 11시 7분 기준 더네이쳐홀딩스는 전일 대비 9.05%(2950원) 상승한 3만5550원에 거래되고 있다. 더네이쳐홀딩스...
더네이쳐홀딩스,"무신사 라이브 첫 방송서 매출 4억, 방송 외 매출 2.1억 “최근 4개월 순방문자 수 전년대비 180%, 매출액 1.4배 상승” 더네이쳐홀딩스(대표 박영준)는 내셔널지오그래픽 어패럴(이하 내셔널지오그래픽)이 11월에 진행한..."
더네이쳐홀딩스,"다만 조인트벤처 경영진에 대해서는 내부적으로 좀 더 검토한 후 결정할 계획이다.더네이쳐홀딩스는 중국 정부가 레저·스포츠 활동을 장려하고 있는 만큼 관련 시장규모가 커질 것으로 예상하고, 베스트셀러그룹과..."
더네이쳐홀딩스,"진다예 기자, 더네이쳐홀딩스(298540)는 3분기 매출액이 522억원(+28.7% YoY), 영업이익은 31억원(-21.1% YoY)을 기록했다. 3분기 영업이익률은 5.9%(-3.7%p YoY, -9.8%p QoQ)로 일시적으로 하락했다. 4분기 매출액은..."
더네이쳐홀딩스,"21일 더네이쳐홀딩스 주가는 6.13%(2천 원) 뛴 3만4600원에 장을 마감했다. 더네이쳐홀딩스 로고. 휠라홀딩스 주가는 5.05%(1850원) 상승한 3만8500원에, 신성통상 주가는 4.13%(145원) 오른 3660원에 거래를..."
더네이쳐홀딩스,"더네이쳐홀딩스는 12일 올해 3분기 매출액 522억원(전년비 +28.8%), 영업이익 31억원(-20.5%), 순이익 42억원(+35.1%)을 각각 기록했다고 공시했다. 이번 3분기 실적을 반영한 PER은 11.7배, PBR은 2.82배, ROE는..."
더네이쳐홀딩스,"반응을 더 지켜볼 것이다""고 전했다. 내셔널지오그래픽 어패럴은 중국 현지의 반응을 확인하기 위해 올해... 더네이쳐홀딩스는 2021년 초 내셔널지오그래픽 상표권을 보유한 월트디즈니와 6년 동안의 장기계약을..."
더네이쳐홀딩스,더네이쳐홀딩스(대표 박영준)는 내달 1일 용산 신사옥 내 ‘플래그십 스토어’를 공개하고 이를 기념해 다양한 이벤트를 실시한다고 31일 밝혔다. 플래그십 스토어는 ‘내셔널지오그래픽’부터 ‘내셔널지오그래픽...
더네이쳐홀딩스,12일까지 전 품목 10% 할인  더네이쳐홀딩스는 9월 1일 용산 신사옥 내 ‘플래그십 스토어’를 공개하고 이를 기념해 다양한 이벤트를 실시한다고 밝혔다. 플래그십 스토어는 ‘내셔널지오그래픽’부터...
더네이쳐홀딩스,최근 용산 신사옥으로 이전을 완료하고 새 비전을 담은 신규 CI(Corporate Identity)를 공개한 바 있는 더네이쳐홀딩스가 보통주 727만2328주를 코스닥 증시에 추가 상장한다. 29일 더네이쳐홀딩스에 따르면 이번...
더블유게임즈,"더블유게임즈가 글로벌 P2E 스킬 게임 시장 공략에 대해 다각적인 분석을 내놨다. 15일 더블유게임즈는 P2E(Play to Earn) 스킬 게임 시장에 대한 인사이트를 공개했다, 이는 글로벌 P2E 스킬 게임 시장 공략에 대한..."
더블유게임즈,"-네오위즈·컴투스그룹·크래프톤·더블유게임즈, 사업목적 추가 -넷게임즈·선데이토즈, 사명 변경…펄어비스는 안양에서 과천으로 국내 게임 상장사들이 다음주 정기 주주총회 시즌에 돌입한다. 올해 주총에선 미래..."
더블유게임즈,"더블유게임즈는 오는 29일 정기주주총회 개최를 위한 소집결의를 한다고 8일 공시했다. 의안 주요내용은 감사보고서, 영업보고, 내부회계관리제도 운영실태보고, 재무제표 승인의 건, 정관 일부 변경의 건, 이사 보수한도..."
더블유게임즈,소셜카지노 게임사 더블유게임즈가 메타버스 플랫폼 기업 맥스트에 20억원을 투자했다. 맥스트가 보유한 메타버스 기술과 더블유게임즈가 서비스하는 소셜카지노게임과 캐주얼 게임을 이용한 메타버스 서비스를 공동...
더블유게임즈,더블유게임즈 주가도 0.2% 상승하며 주가상승률에서 넷마블 뒤를 이었다. 이에 비해 NHN 주가는 같은 기간 4.11% 하락해 가장 부진한 모습을 보였다. KRX 게임 K-뉴딜 구성종목의 주가 변동현황은...
더블유게임즈,"아울러 28일엔 카카오게임즈, 29일에는 넷마블과 더블유게임즈, 컴투스가 30일에는 엔씨소프트와 펄어비스, 31일 크래프톤이 주주총회를 갖는다. 블록체인 사업 진출하는 게임사들 게임 업계 주주총회 일정 및 핵심 안건..."
더블유게임즈,"더블유게임즈, 주주총회에 사업목적 추가 안건 상정 더블유게임즈가 3월 29일 열리는 정기주주총회에 '아이-게이밍'과 블록체인 등 신규 사업목적을 정관에 추가하는 안건 등을 상정한다. 이번에 상정되는 정관 일부..."
더블유게임즈,더블유게임즈(대표이사 김가람)가 주당 700원 배당금을 공시했다. 배당금 총액은 118억 8286만원으로 오는 29일 주주총회 의결을 거쳐 지급된다. 더블유게임즈에서 운영하는 더블다운카지노. [이미지=더블유게임즈]...
더블유게임즈,"이번 주가 상승은 더블유게임즈가 맥스트에 20억 원 규모의 투자를 한다는 MOU 체결에 따른 것으로 풀이된다. 글로벌 소셜카지노 게임회사인 더블유게임즈는 맥스트의 메타버스, AR, VR 기술을 이용해 소셜카지노와..."
더블유게임즈,"더블유게임즈는, AR 기술 기업 맥스트에 투자하며 메타버스 사업을 본격화한다. 메타버스에 대한 각계각층이 관심이 고조되는 가운데 e스포츠, 소셜 카지노, 웹툰 등 다양한 분야의 업체들이 핵심 경쟁력을 메타버스로..."
더블유게임즈,더블유게임즈가 둔화한 성장세를 타개하기 위한 해법을 영미권에서 찾고 있다. 강점인 슬롯 콘텐츠 자체 제작 역량과 소셜카지노 운영 노하우를 그대로 살리기 위한 조치다. 온라인 카지노에 해당하는...
더블유게임즈,소셜카지노 게임사 더블유게임즈가 '플레이 투 언'(P2E) 게임 시장에 진출한다. 글로벌 지역에서 소셜카지노 게임으로 수익을 올리고 있는 더블유게임즈는 '중장기적 성장동력'에 초점을 맞춰 올해부터 'P2E 스킬...
더블유게임즈,더블유게임즈(대표 김가람)와 자회사 더블다운인터액티브(대표 김인극)는 메타버스를 활용한 채용설명회를 성황리에 종료했다고 23일 밝혔다. 이번 채용설명회는 전직군 초봉 인상에 이어 우수 인재 채용을 위한...
더블유게임즈,"◆글로벌 소셜카지노 게임사 더블유게임즈는 오는 29일 정기주주총회를 진행한다고 8일 공시했다. 의안 주요 내용은 제10기 재무제표 및 연결재무제표 승인의 건(배당금 주당 700원), 정관 일부 변경의 건, 사내이사 및..."
더블유게임즈,더블유게임즈가 메타버스 사업 진출을 위해 회사채 발행과 자회사 미국 상장 등으로 확보했던 현금 보따리를 푼다. 첫 투자처는 메타버스 플랫폼 기업 맥스트다. 더블유게임즈는 메타버스 플랫폼 기업 맥스트가...
더블유게임즈,"78%(3200원) 상승, 웹젠 2만4000원 2.35%(550원) 상승, NHN 3만6400원 1.82%(650원) 상승, 더블유게임즈 5만1700원 1.37%(700원) 상승, 크래프톤 28만4000원 0.89%(2500원) 상승, 넷마블 10만9000원 0%(0원) 보합"
더블유게임즈,더블유게임즈(대표이사 김가람)와 자회사 더블다운인터액티브(대표이사 김인극)는 메타버스를  활용한 채용설명회를 성황리에 종료했다고 23일 밝혔다. 우수 인재 채용을 위한 더블유게임즈의 다양한 전략에 이목이...
더블유게임즈,더블유게임즈 주가도 1.62% 상승하며 주가상승률에서 펄어비스 뒤를 이었다. 이에 비해 크래프톤 주가는 같은 기간 4.24% 하락해 가장 부진한 모습을 보였다. KRX 게임 K-뉴딜 구성종목의 주가...
더블유게임즈,금융감독원 전자공시시스템 지난해 4분기 실적이 전년 동기 대비 소폭 하락한 더블유게임즈가 올해 P2E시장 진출을 통한 사업다각화로 실적 반등에 나선다. 21일 금융감독원 전자공시시스템에 따르면...
더블유게임즈,NHN·넵튠·넷마블·조이시티·컴투스·컴투스홀딩스·더블유게임즈·데브시스터즈 ▲30일 펄어비스·엔씨소프트·미투젠 ▲31일 크래프톤·썸에이지·선데이토즈·위메이드 등으로 정리됩니다. 가장 먼저 포문을 여는...
더블유게임즈,몇 가지 성장 제고 전략들 검증 필요 하나금융투자는 15일 더블유게임즈에 대해 지난해 4분기 실적은 시장 기대치를 밑돌았다고 전했다. 성종화 하나금융투자 연구원은 “더블유게임즈의 지난해 4분기 연결기준...
더블유게임즈,"더블유게임즈, 미투온그룹 등 소셜카지노 게임사도 P2E 게임 진출을 가속한다. 다만 주 라인업인 슬롯형 소셜카지노 게임보다는 캐주얼 게임을 위주로 P2E를 접목할 것으로 보인다. 20일 게임업계에 따르면 우선..."
더블유게임즈,더블유게임즈 서울 오피스 [사진=더블유게임즈] 더블유게임즈의 자회사 더블다운인터랙티브는 연봉과 복지제도를 전면 개편한다. 직군과 관계없이 신입 초봉을 4500만원으로 상향하고 기존 재직 중인 직원들의 연봉도...
더블유게임즈,"기사내용 요약지난해 매출 6241억원, 영업익 1904억원, EBITDA 2180억원 전년 比 매출 5.2%↓, 영업익 2%↓, EBITDA 8.7%↓ 부채 해소·금융비용 절감으로 순이익 전년 比 25%↑ [서울=뉴시스]윤현성 기자 = 더블유게임즈는..."
더블유게임즈,2021년 전체 매출은 증가 마무리…순이익은 급증  더블유게임즈의 미국 자회사인 더블다운 인터랙티브의 2021년 4분기 실적이 공개됐다. 더블다운 인터랙티브는 8일(현지시간) 2021년 4분기 매출이 8630만...
더블유게임즈,글로벌 종합게임회사로 성장하기 위한 인재채용 더블유게임즈와 자회사 더블다운인터액티브가 메타버스 플랫폼을 활용한 채용설명회를 개최한다고 밝혔다. 사진=더블유게임즈 더블유게임즈(대표이사 김가람)와 자회사...
더블유게임즈,더블유게임즈는 작년 4분기 연결기준 영업이익이 428억8900만원으로 전년 동기 대비 8.8% 감소했다고 9일 공시했다. 같은 기간 매출액은 1508억4000만원으로 5% 줄었다. 당기순이익은 343억1500만원으로 1.7...
더블유게임즈,더블유게임즈의 지난해 4분기 연결기준 잠정 영업이익은 428억8900만원으로 최근 3개월간 증권사가 예상한 517억2500만원 대비 17.1% 낮아 컨센서스에 미달했다. 9일 전자공시에 따르면 더블유게임즈는 지난해...
더블유게임즈,"28일 더블유게임즈 주가는 4만7600원을 기록하며, 52주 신저가를 경신했다. 이는 전저점 대비 5.56% 하락한 것이다. 더블유게임즈의 주가는 오전 10시 45분 기준 전일 대비 0.21% 오른 4만8650원에 거래되고 있다...."
더블유게임즈,더블유게임즈(192080)는 16일 오전 9시20분 국내 주요 기관투자가를 대상으로 삼성증권이 진행하는 NDR에 참여해 기업설명회(IR)를 진행한다고 15일 공시했다.
더블유게임즈,"◇ 교육서비스, VR‧AR 사업도… 리스크 최소화한다 16일 전자공시시스템에 따르면 올해 신사업 목적 추가의 건을 주총에 상정한 게임사는 △네오위즈 △더블유게임즈 △컴투스 △크래프톤 △컴투스홀딩스..."
더블유게임즈,"이베스트투자증권은 15일 더블유게임즈에 대해 신작모멘텀 부재, 성장성 부진 측면에서 투자자의 눈높이에 미치지 못하고 있다고 분석했다. 목표주가를 기존 7만2천원에서 6만4천원으로 하향 조정했다. 투자의견은..."
더블유게임즈,모바일 게임 ‘언데드월드: 히어로 서바이벌’ 대규모 업데이트 진행 하락세를 보이던 더블유게임즈 주가가 바닥 다지기에 들어간 모양새다. 26일 코스피에서 더블유게임즈 주가는 2.90% 오른 5만1400원을 기록하고...
더블유게임즈,"더블유게임즈(대표이사 김가람)와 자회사 더블다운인터액티브(NASDAQ DDI, 대표 김인극)는 더블유게임즈의 창사 10주년을 맞이해 연봉과 복지제도를 전면 개편했다고 24일 밝혔다. 더블유게임즈와..."
더블유게임즈,기사내용 요약신입초봉 직군 관계없이 4500만원으로 상향 장기근속 수당을 최대 1000만원으로 상향 우수 인재 영입 및 제2의 성장 추진력 확보 [서울=뉴시스] 오동현 기자 = 더블유게임즈가 창사 10주년을 맞이해 연봉과...
더블유게임즈,"더블유게임즈의 실적 상승세가 주춤한 가운데, 소액주주와의 갈등으로 진땀을 빼고있다. 21일 데이터뉴스가 금융감독원 전자공시시스템에 공시된 더블유게임즈의 분기보고서 등을 분석한 결과, 연간..."
더블유게임즈,"금융감독원 전자공시시스템 더블유게임즈가 지난해 4분기 성수기 및 원/달러 환율 효과에 따라 전분기 대비 실적이 개선될 수 있으나, 성장성 부진 및 신작 모멘텀 열위 문제로 올해 단기적인 실적 상승은..."
더블유게임즈,더블유게임즈 주가도 0.2% 상승하며 주가상승률에서 엔씨소프트 뒤를 이었다. 이에 비해 펄어비스 주가는 같은 기간 4.85% 하락해 가장 부진한 모습을 보였다. KRX 게임 K-뉴딜 구성종목의 주가...
더블유게임즈,이베스트투자증권이 더블유게임즈의 목표주가를 하향 조정했다. 신작과 성장의 동력(모멘텀)이 타사에 비해 부족하다는 게 그 이유다. 19일 이베스트투자증권은 더블유게임즈의 투자의견 ‘매수’를 유지하면서도...
더블유게임즈,"화이트페이퍼, WHITEPAPER사진=더블유게임즈  더블유게임즈는 14일 자회사 더블다운인터액티브를 통해 에픽게임즈에 약 150만달러 규모의 투자를 단행했다고 밝혔다. 이번 투자를 계기로 더블유게임즈의 메타버스 산업..."
더블유게임즈,"ⓒ 데일리포스트=이미지제공 / 더블유게임즈 ""신규 홈페이지는 투자자 및 구직자를 위해 다양한 기업 정보를 제공하는데 중점을 두고 제작됐습니다. 새로운 홈페이지를 통해 다양한 기업 이해관계자와의 소통 강화를..."
더블유게임즈,"더블유게임즈 CI  주가관리 소홀, 불투명한 경영 관리 등을 지적하며 더블유게임즈(192080, 대표 김가람)에 경영권 분쟁 소송을 제기했던 소액주주들이 소취하를 하면서 분쟁이 마무리됐다. 더블유게임즈는 장부 등 열람..."
더블유게임즈,"더블유게임즈의 주가는 지난 12일 종가 기준 전일 대비 1.29% 오른 5만4800원이다. 2021년 3분기 실적과 현재 주가를 반영한 더블유게임즈의 주가수익배수(PER)는 7.9배, 주가순자산배수(PBR)는 1.24배, 자기자본이익률(ROE)..."
더블유게임즈,"더블유게임즈(대표이사 김가람)는 지난해 1904억 원의 영업이익을 기록했다고 9일 공시했다. 이는 전년 1942억 원 대비 2.0% 소폭 줄어든 규모다. 매출액은 6241억 원, 당기순익은 1565억 원이다."
더블유게임즈,더블유게임즈는 보통주 1주당 700원의 현금 결산배당을 결정했다고 9일 공시했다. 시가배당율은 1.2%이며 배당금총액은 118억8287만원이다.
더블유게임즈,- 더블유게임즈 장부 등 열람하기 위한 소송 마무리 게임업체 더블유게임즈와 경영권 분쟁 소송에 나섰던 소액주주들이 소취하를 하면서 마무리됐다. 더블유게임즈는 12일 김동우 외 16명이 이날 서울중앙지방법원에...
더블유게임즈,기업 접근성 및 정체성 강화 사진=더블유게임즈 더블유게임즈(대표이사 김가람)는 12일 홈페이지를 새롭게 단장했다고 밝혔다. 투자 정보 및 채용 플랫폼 탑재 등을 통해 기업 접근성 및 정체성을 강화하겠다는 취지다....
더블유게임즈,"더블유게임즈가 성장 동력 우려에 장초반 52주 신저가를 경신했다. 19일 오전 9시12분 현재 더블유게임즈는 전 거래일보다 1,100원(2.08%) 내린 5만1,700원에 거래되고 있다. 장중엔 5만400원까지 떨어지며 52주 신저가를..."
더블유게임즈,한화투자증권이 더블유게임즈에 대해 단기적인 주가 상승 모멘텀은 제한적이지만 올해 예상실적 기준 PER이 7배 수준으로 업종 내 저평가 매력이 돋보인다며 투자의견 매수와 목표주가 8만5000원을 12일 제시했다. 김소혜...
더블유게임즈,21일 업계에 따르면 더블유게임즈는 지난 17일 P2E 스킬 게임 진출의 계획을 밝혔다. 더블유게임즈는 지난 9일 실적발표 컨퍼런스콜에서 '사업 다각화 전략' 중 하나로 스킬 기반의 돈 버는 게임(P2E·Play to Earn) 진출을...
더블유에스아이,더블유에스아이(299170)는 연결 기준 지난해 영업이익이 61억원으로 전년 대비 8.7% 증가했다고 17일 공시했다. 같은 기간 매출액은 5.3% 늘어난 278억원으로 집계됐다. 당기순이익은 77억원으로 전년 대비...
더블유에스아이,따르면 더블유에스아이의 지난해 연간 연결기준 잠정 영업이익은 61억1065만원으로 최근 3개월간 증권사가 예상한 65억원 대비 6% 낮아 컨센서스에 미달했다. 전일 장 마감후 전자공시에 따르면 더블유에스아이는...
더블유에스아이,"기사내용 요약""사업 확장 따른 성장 거점 확보"" 의약품 및 의료기기 유통 전문기업 더블유에스아이가 서울 송파구 삼전동에 사옥을 마련해 성장 인프라를 구축, 본격적인 사업 확장에 박차를 가한다. 더블유에스아이는..."
더블유에스아이,유통에서 제조업으로 사업영역 확대 진행 중 IBK투자증권은 31일 더블유에스아이에 대해 의료 유통 플랫폼 사업자로서 안정된 성장세를 보이고 있다고 전했다. 이민희 IBK투자증권 연구원은 “더블유에스아이는...
더블유에스아이,IBK투자증권은 22일 더블유에스아이에 대해 4분기 호실적을 예상했다. 21일 종가는 2335원이다. 이민희... 더블유에스아이는 의료유통 오픈 플랫폼을 사업목적으로 1999년 설립됐다. 우리들병원 출신의 영업전문성과 인적...
